10000			13473001.273387		22	1295	0.0141935483870968
12589.2541179417	19478724.1071902	21	1263	0.0120750127101991
15848.9319246111	28003972.5174007	20	1238	0.0102493965770875
19952.6231496888	39999172.7943816	20	1175	0.00913478431463404
25118.8643150958	56899281.9873833	19	1112	0.00773431583556366
31622.7766016838	80763628.213334		19	1111	0.0068932162442688
39810.7170553497	114396440.37828		19	1039	0.00614358544446334
50118.7233627273	161754318.65585		19	1039	0.00547547629088277
63095.7344480193	228383263.827266	19	1041	0.00488002338097835
79432.8234724282	322027654.155058	19	1042	0.00434932541641157
100000			453794343.707686	18	989	0.0036723224440665
