1000	441534.025297047	12	551	0.02448214962711
1258.92541179417	621411.485703366	11	502	0.0200014272541348
1584.89319246111	887549.653637864	12	550	0.019446862695558
1995.26231496888	1245993.19838323	11	501	0.0158876984027431
2511.88643150958	1761022.96244011	11	501	0.0141599261062308
3162.27766016838	2487958.88499592	11	508	0.0126200474260827
3981.07170553497	3477377.38780714	14	750	0.0143151643190036
5011.87233627273	4962558.34265458	12	551	0.0109357745390149
6309.57344480193	6938318.75268298	15	699	0.0121831491463952
7943.28234724281	9885587.82220368	14	705	0.0101343602324048
10000	13838714.9961482	13	714	0.00838709677419355
12589.2541179417	19834602.3559912	13	613	0.00747500786821851
15848.9319246111	27837723.8775606	13	570	0.00666210777510688
19952.6231496888	39177954.6297024	13	616	0.00593760980451213
25118.8643150958	54504573.6217957	14	658	0.0056989695630469
31622.7766016838	75723161.0142559	12	500	0.00435361025953819
39810.7170553497	101102828.042056	11	648	0.00355681262574193
50118.7233627273	136203352.332954	31	652	0.00893367184301926
63095.7344480193	190359194.557314	31	656	0.00796214341106995
79432.8234724282	265828877.81299	31	659	0.00709626778467151
100000	370855987.341011	31	663	0.00632455532033676
